,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2030,usf1944_RCC_L1_CL_B.jpg,1.29934e-13,1.52255e-13,1.31014e-13,1.1249e-13,9.327e-13,1.12686e-12,9.41718e-13,7.83205e-13,1.89931e-11,2.58584e-11,1.92343e-11,1.40831e-11,0.601366,1.0,0.715029,0.479858
2266,usf3103_RMLO_L1_MS_B.jpg,3.13388e-13,3.1533e-13,3.14354e-13,2.88966e-13,2.27855e-12,2.29559e-12,2.28716e-12,2.07283e-12,4.85377e-11,4.90633e-11,4.8778e-11,4.23616e-11,0.989652,0.993196,1.0,0.790554
63,usf0040_LMLO_L1_MS_M.jpg,2.68416e-13,1.99088e-13,1.46371e-13,2.59372e-13,2.01678e-12,1.43043e-12,9.86582e-13,1.93672e-12,4.91416e-11,3.06227e-11,1.66917e-11,4.60628e-11,1.0,0.754202,0.400319,0.943574
454,usf0304_RMLO_L2_CL_B.jpg,2.38848e-13,2.16811e-13,1.98057e-13,1.66605e-13,1.83239e-12,1.63393e-12,1.46781e-12,1.19638e-12,4.87788e-11,4.03408e-11,3.39077e-11,2.46518e-11,1.0,0.868199,0.714557,0.439447
1703,usf1764_RMLO_L1_MS_B.jpg,1.81151e-13,2.0196e-13,1.91555e-13,1.95039e-13,1.26362e-12,1.44123e-12,1.35195e-12,1.38151e-12,2.2849e-11,2.85474e-11,2.56081e-11,2.65247e-11,0.804291,1.0,0.905408,0.981458
770,usf1111_RMLO_L1_MS_M.jpg,1.30865e-13,1.51305e-13,1.74644e-13,1.75097e-13,9.4329e-13,1.07253e-12,1.27023e-12,1.31971e-12,2.06794e-11,2.08824e-11,2.70365e-11,3.28355e-11,0.500818,0.72474,1.0,0.889136
2859,usf4172_RCC_L1_MS_M.jpg,1.43525e-13,1.30334e-13,1.26945e-13,1.07033e-13,1.09417e-12,9.76024e-13,9.45926e-13,7.75132e-13,2.83457e-11,2.35124e-11,2.23317e-11,1.66575e-11,1.0,0.902776,0.815284,0.4938
1806,usf1816_RMLO_L1_MS_M.jpg,1.77144e-13,1.82546e-13,1.8006e-13,1.83949e-13,1.28602e-12,1.31007e-12,1.28829e-12,1.34141e-12,2.83035e-11,2.64737e-11,2.56848e-11,2.96328e-11,0.930245,0.934753,0.90019,1.0
2786,usf4125_RCC_L1_MS_M.jpg,1.5312e-13,4.10352e-14,3.89979e-14,1.49927e-13,1.14689e-12,3.06529e-13,2.88433e-13,1.1185e-12,2.75421e-11,7.28029e-12,6.57236e-12,2.64251e-11,1.0,0.175524,0.158002,0.977335
1781,usf1803_LMLO_L1_CL_B.jpg,1.23863e-13,1.33033e-13,1.18597e-13,8.96455e-14,9.36172e-13,1.018e-12,8.91048e-13,6.50647e-13,2.35115e-11,2.6803e-11,2.20486e-11,1.46749e-11,0.776321,1.0,0.82443,0.339413
